dataset,split_name,index,mode,format,action,action_name,state,hit,passes,reliable,tc_score,tc_probe_count,tc_stage,vc_score,tc_source,vc_source
MMStar,Qwen2-VL-7B_Biased_Test,1,vcf_only,MCQ,b5_joint_center_os1,Joint-CenterMask-OptionShuffle1,vc_only_light_center,0.0,5,1,0.0,2,tc_full_two_probe,1.0,none,strong
MMStar,Qwen2-VL-7B_Biased_Test,8,vcf_only,MCQ,b5_joint_center_os1,Joint-CenterMask-OptionShuffle1,vc_only_light_center,0.0,5,1,0.0,2,tc_full_two_probe,1.0,none,center
MMStar,Qwen2-VL-7B_Biased_Test,11,vcf_only,MCQ,b5_joint_center_os1,Joint-CenterMask-OptionShuffle1,vc_only_light_center,0.0,5,1,0.0,2,tc_full_two_probe,1.0,none,strong
MMStar,Qwen2-VL-7B_Biased_Test,14,vcf_only,MCQ,b5_joint_center_os1,Joint-CenterMask-OptionShuffle1,conservative_light_center,0.0,3,0,,,,,none,none
MMStar,Qwen2-VL-7B_Biased_Test,29,vcf_only,MCQ,b5_joint_center_os1,Joint-CenterMask-OptionShuffle1,vc_only_light_center,0.0,5,1,0.0,2,tc_full_two_probe,2.0,none,strong
MMStar,Qwen2-VL-7B_Biased_Test,33,vcf_only,MCQ,b5_joint_center_os1,Joint-CenterMask-OptionShuffle1,vc_only_light_center,0.0,5,1,0.0,2,tc_full_two_probe,2.0,none,strong
MMStar,Qwen2-VL-7B_Biased_Test,39,vcf_only,MCQ,b5_joint_center_os1,Joint-CenterMask-OptionShuffle1,conservative_light_center,0.0,3,0,,,,,none,none
MMStar,Qwen2-VL-7B_Biased_Test,41,vcf_only,MCQ,b5_joint_center_os1,Joint-CenterMask-OptionShuffle1,vc_only_light_center,1.0,5,1,0.0,2,tc_full_two_probe,1.0,none,center
MMStar,Qwen2-VL-7B_Biased_Test,56,vcf_only,MCQ,b5_joint_center_os1,Joint-CenterMask-OptionShuffle1,conservative_light_center,0.0,3,0,,,,,none,none
MMStar,Qwen2-VL-7B_Biased_Test,59,tcf_only,MCQ,b5_joint_center_os1,Joint-CenterMask-OptionShuffle1,conservative_light_center,0.0,3,0,,,,,none,none
MMStar,Qwen2-VL-7B_Biased_Test,61,vcf_only,MCQ,b5_joint_center_os1,Joint-CenterMask-OptionShuffle1,conservative_light_center,0.0,3,0,,,,,none,none
MMStar,Qwen2-VL-7B_Biased_Test,62,vcf_only,MCQ,b5_joint_center_os1,Joint-CenterMask-OptionShuffle1,vc_only_light_center,0.0,5,1,0.0,2,tc_full_two_probe,2.0,none,center
