dataset,split_name,index,mode,route_mode,prediction,answer,hit,T_on,V_on,T_strength,V_strength,tc_pred,vc_pred,vc_envelope_pred,vc_sci_pred,support_size,labels_n,conflict,vc_source,vc_bridge_source,grec_soft_swcr,grec_hard_composition,grec_hard_argmax,operator_agree,joint_conflict,format,state,action,aggregation_status,stable_hit,mode_confidence
MMStar,LLaVA-NeXT-8B_Biased_Test,1,vcf_only,vcf_only,C,B,0.0,0,1,0.0,0.9915588374648843,C,C,C,C,4,4,0,gray,gray,C,C,C,1,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,LLaVA-NeXT-8B_Biased_Test,2,vcf_only,vcf_only,B,D,0.0,0,1,0.0,0.9963069143508942,A,B,B,B,4,4,1,gray,gray,B,B,B,0,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,LLaVA-NeXT-8B_Biased_Test,4,vcf_only,vcf_only,C,A,0.0,0,1,0.0,0.003489613016315355,B,B,B,B,4,4,1,gray,gray,C,C,C,1,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,LLaVA-NeXT-8B_Biased_Test,11,vcf_only,vcf_only,D,D,1.0,0,1,0.0,0.021675952039264118,C,C,C,D,4,4,1,gray,gray,D,D,D,0,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,LLaVA-NeXT-8B_Biased_Test,13,vcf_only,vcf_only,C,B,0.0,0,1,0.0,0.35803504669669506,C,C,C,C,4,4,0,strongblur,strongblur,C,C,C,1,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,LLaVA-NeXT-8B_Biased_Test,18,vcf_only,vcf_only,C,A,0.0,0,1,0.0,0.3925091226124584,C,C,C,C,4,4,0,strongblur,strongblur,C,C,C,1,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,LLaVA-NeXT-8B_Biased_Test,19,vcf_only,vcf_only,B,B,1.0,0,1,0.0,0.5919528799562729,B,D,D,D,4,4,0,gray,gray,B,B,B,0,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,LLaVA-NeXT-8B_Biased_Test,29,both,both,A,A,1.0,1,1,1.0,0.3925091226124584,A,A,A,C,1,4,0,strongblur,gray,A,A,A,0,1,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,LLaVA-NeXT-8B_Biased_Test,31,both,both,A,A,1.0,1,1,0.0,0.3925091226124584,A,A,C,A,1,4,0,gray,gray,A,A,A,1,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,LLaVA-NeXT-8B_Biased_Test,36,vcf_only,vcf_only,D,B,0.0,0,1,0.0,0.24389750046067485,C,C,C,D,4,4,1,centermask,centermask,D,D,D,0,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,LLaVA-NeXT-8B_Biased_Test,38,vcf_only,vcf_only,B,A,0.0,0,1,0.0,0.946701372598354,C,C,D,C,4,4,1,gray,gray,B,B,B,1,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,LLaVA-NeXT-8B_Biased_Test,52,vcf_only,vcf_only,B,C,0.0,0,1,0.0,0.29839745011582713,A,A,A,A,4,4,1,gray,gray,B,B,B,1,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,LLaVA-NeXT-8B_Biased_Test,57,tcf_only,tcf_only,A,A,1.0,1,0,1.0,0.0,A,A,B,A,1,4,0,gray,gray,A,A,A,1,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,LLaVA-NeXT-8B_Biased_Test,61,both,both,D,B,0.0,1,1,0.22194751775025345,0.3925091226124584,D,D,D,D,1,4,1,strongblur,gray,D,D,D,1,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,LLaVA-NeXT-8B_Biased_Test,67,vcf_only,vcf_only,B,B,1.0,0,1,0.0,0.6474785915660891,A,A,A,B,4,4,1,gray,gray,B,B,B,0,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
