dataset,split_name,index,mode,route_mode,prediction,answer,hit,T_on,V_on,T_strength,V_strength,tc_pred,vc_pred,vc_envelope_pred,vc_sci_pred,support_size,labels_n,conflict,vc_source,vc_bridge_source,grec_soft_swcr,grec_hard_composition,grec_hard_argmax,operator_agree,joint_conflict,format,state,action,aggregation_status,stable_hit,mode_confidence
MMStar,Qwen2-VL-7B_Biased_Test,1,vcf_only,vcf_only,C,B,0.0,0,1,0.0,0.9987096061841656,D,C,C,C,4,4,1,gray,gray,C,C,C,0,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,Qwen2-VL-7B_Biased_Test,8,vcf_only,vcf_only,B,B,1.0,0,1,0.0,0.5132151328503403,D,D,D,B,4,4,1,gray,gray,B,B,B,0,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,Qwen2-VL-7B_Biased_Test,11,vcf_only,vcf_only,C,D,0.0,0,1,0.0,0.08225265095386093,C,C,C,C,4,4,0,strongblur,strongblur,C,C,C,1,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,Qwen2-VL-7B_Biased_Test,14,vcf_only,vcf_only,C,A,0.0,0,1,0.0,0.23278965904959004,C,C,C,C,4,4,0,strongblur,centermask,C,C,C,1,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,Qwen2-VL-7B_Biased_Test,29,vcf_only,vcf_only,C,A,0.0,0,1,0.0,0.9453288587425842,C,C,C,C,4,4,0,gray,gray,C,C,C,1,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,Qwen2-VL-7B_Biased_Test,33,vcf_only,vcf_only,A,A,1.0,0,1,0.0,0.16957569244689955,D,D,D,D,4,4,1,gray,centermask,A,A,A,1,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,Qwen2-VL-7B_Biased_Test,39,vcf_only,vcf_only,C,B,0.0,0,1,0.0,0.38206497989232596,B,B,B,C,4,4,1,strongblur,centermask,C,C,C,0,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,Qwen2-VL-7B_Biased_Test,41,vcf_only,vcf_only,B,B,1.0,0,1,0.0,0.620955949155143,B,B,C,B,4,4,0,centermask,centermask,B,B,B,1,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,Qwen2-VL-7B_Biased_Test,56,vcf_only,vcf_only,D,A,0.0,0,1,0.0,1.0,A,A,A,D,4,4,1,gray,centermask,D,D,D,0,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,Qwen2-VL-7B_Biased_Test,59,tcf_only,neither,A,D,0.0,0,0,0.0,0.0,A,A,A,A,4,4,0,strongblur,centermask,A,A,A,1,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,Qwen2-VL-7B_Biased_Test,61,vcf_only,vcf_only,A,B,0.0,0,1,0.0,0.38206497989232596,D,D,D,C,4,4,1,strongblur,centermask,A,A,A,0,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,Qwen2-VL-7B_Biased_Test,62,vcf_only,vcf_only,C,A,0.0,0,1,0.0,0.9440716336922588,A,C,C,C,4,4,1,gray,gray,C,C,C,0,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,Qwen2-VL-7B_Biased_Test,64,vcf_only,vcf_only,C,B,0.0,0,1,0.0,0.49948029250635395,B,C,C,C,4,4,1,strongblur,strongblur,C,C,C,0,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,Qwen2-VL-7B_Biased_Test,86,vcf_only,both,A,A,1.0,1,1,0.45421448211933796,0.38206497989232596,A,A,A,A,1,4,0,gray,gray,A,A,A,1,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
