dataset,split_name,index,mode,format,action,action_name,state,hit,passes,reliable,tc_score,tc_probe_count,tc_stage,vc_score,tc_source,vc_source,vc_cascade_depth
MMStar,LLaVA-NeXT-8B_Biased_Test,1,vcf_only,MCQ,both_max_grayscale_b0.2_g2.5_t0.2,Visual-Grayscale,visual_gray,0.0,3,1,0.0,1,tc_os1_low,1.0,none,gray,1
MMStar,LLaVA-NeXT-8B_Biased_Test,2,vcf_only,MCQ,joint_os_center_mask_b0.2_g2.5_t0.2,Joint-CenterMask-OptionShuffle1,joint_center,0.0,4,1,0.0,1,tc_os1_high,2.0,option_shuffle,center,
MMStar,LLaVA-NeXT-8B_Biased_Test,4,vcf_only,MCQ,both_max_grayscale_b0.2_g2.5_t0.2,Visual-Grayscale,visual_gray,0.0,5,1,0.0,1,tc_os1_low,2.0,none,gray,3
MMStar,LLaVA-NeXT-8B_Biased_Test,11,vcf_only,MCQ,both_max_grayscale_b0.2_g2.5_t0.2,Visual-Grayscale,visual_gray,1.0,3,1,2.0,1,tc_os1_low,1.0,none,gray,1
MMStar,LLaVA-NeXT-8B_Biased_Test,13,vcf_only,MCQ,both_max_strong_blur_b0.2_g2.5_t0.2,Visual-StrongBlur,visual_strong,0.0,5,1,0.0,1,tc_os1_low,1.0,none,strong,3
MMStar,LLaVA-NeXT-8B_Biased_Test,18,vcf_only,MCQ,both_max_strong_blur_b0.2_g2.5_t0.2,Visual-StrongBlur,visual_strong,0.0,5,1,0.0,1,tc_os1_low,1.0,none,strong,3
MMStar,LLaVA-NeXT-8B_Biased_Test,19,vcf_only,MCQ,both_max_grayscale_b0.2_g2.5_t0.2,Visual-Grayscale,visual_gray,0.0,3,1,0.0,1,tc_os1_low,2.0,none,gray,1
MMStar,LLaVA-NeXT-8B_Biased_Test,29,both,MCQ,floor_sci5_ours_aug_b0.1_g2_t0.3,Conservative-2VC2TC,conservative_full,1.0,5,0,,,,,none,none,
MMStar,LLaVA-NeXT-8B_Biased_Test,31,both,MCQ,floor_sci5_ours_aug_b0.1_g2_t0.3,Conservative-2VC2TC,conservative_full,0.0,5,0,,,,,none,none,
MMStar,LLaVA-NeXT-8B_Biased_Test,36,vcf_only,MCQ,joint_os_center_mask_b0.2_g2.5_t0.2,Joint-CenterMask-OptionShuffle1,joint_center,0.0,4,1,0.0,1,tc_os1_high,1.0,option_shuffle,center,
MMStar,LLaVA-NeXT-8B_Biased_Test,38,vcf_only,MCQ,both_max_grayscale_b0.2_g2.5_t0.2,Visual-Grayscale,visual_gray,0.0,3,1,0.0,1,tc_os1_low,2.0,none,gray,1
MMStar,LLaVA-NeXT-8B_Biased_Test,52,vcf_only,MCQ,both_max_grayscale_b0.2_g2.5_t0.2,Visual-Grayscale,visual_gray,0.0,5,1,0.0,1,tc_os1_low,1.0,none,gray,3
MMStar,LLaVA-NeXT-8B_Biased_Test,57,tcf_only,MCQ,floor_sci5_ours_aug_b0.1_g2_t0.3,Conservative-2VC2TC,conservative_full,0.0,5,0,,,,,none,none,
MMStar,LLaVA-NeXT-8B_Biased_Test,61,both,MCQ,floor_sci5_ours_aug_b0.1_g2_t0.3,Conservative-2VC2TC,conservative_full,0.0,5,0,,,,,none,none,
MMStar,LLaVA-NeXT-8B_Biased_Test,67,vcf_only,MCQ,both_max_grayscale_b0.2_g2.5_t0.2,Visual-Grayscale,visual_gray,1.0,3,1,0.0,1,tc_os1_low,2.0,none,gray,1
MMStar,LLaVA-NeXT-8B_Biased_Test,74,tcf_only,MCQ,floor_sci5_ours_aug_b0.1_g2_t0.3,Conservative-2VC2TC,conservative_full,0.0,5,0,,,,,none,none,
MMStar,LLaVA-NeXT-8B_Biased_Test,79,tcf_only,MCQ,floor_sci5_ours_aug_b0.1_g2_t0.3,Conservative-2VC2TC,conservative_full,1.0,5,0,,,,,none,none,
MMStar,LLaVA-NeXT-8B_Biased_Test,83,vcf_only,MCQ,floor_sci5_ours_aug_b0.1_g2_t0.3,Conservative-2VC2TC,conservative_full,1.0,5,0,,,,,none,none,
MMStar,LLaVA-NeXT-8B_Biased_Test,94,vcf_only,MCQ,both_max_grayscale_b0.2_g2.5_t0.2,Visual-Grayscale,visual_gray,0.0,3,1,0.0,1,tc_os1_low,2.0,none,gray,1
MMStar,LLaVA-NeXT-8B_Biased_Test,101,vcf_only,MCQ,both_max_grayscale_b0.2_g2.5_t0.2,Visual-Grayscale,visual_gray,0.0,3,1,0.0,1,tc_os1_low,1.0,none,gray,1
MMStar,LLaVA-NeXT-8B_Biased_Test,106,tcf_only,MCQ,floor_sci5_ours_aug_b0.1_g2_t0.3,Conservative-2VC2TC,conservative_full,0.0,5,0,,,,,none,none,
MMStar,LLaVA-NeXT-8B_Biased_Test,107,tcf_only,MCQ,floor_sci5_ours_aug_b0.1_g2_t0.3,Conservative-2VC2TC,conservative_full,0.0,5,0,,,,,none,none,
MMStar,LLaVA-NeXT-8B_Biased_Test,112,vcf_only,MCQ,floor_sci5_ours_aug_b0.1_g2_t0.3,Conservative-2VC2TC,conservative_full,0.0,5,1,0.0,1,tc_os1_low,0.0,none,none,
